param,value,type,Appendix.Section,source,relevant.calibration.target,geography,definition
sti.screen.rect.prep.prob,1,numeric,,,,,Probability of rectal site screening for any STI given  urogenital screening for MSM not diagnosed with HIV and on PrEP.
sti.cond.eff.or,0.95,numeric,"9.3,9.4",,,,Odds ratio comparing the odds of STI infection from anal sex when a condom is used vs. not used properly (biological efficacy)..
gono.uret.prob,0.20,numeric,9.4,,ir100.gc,atlanta,Probability of urethral gonorrhea infection per act.
gono.rect.sympt.prob,0.1,numeric,10,,,,Probability of symptoms given infection with rectal gonorrhea.
gono.uret.sympt.prob,0.9333,numeric,10,,,,Probability of symptoms given infection with urethral gonorrhea.
gono.tx.recov.int,1.4,numeric,11,,,,Average duration in time steps of treated gonorrhea.
gono.ntx.recov.int,26,numeric,11,,,,Average duration in time steps of untreated gonorrhea.
gono.sympt.tx.prob_1,0.9,numeric,10,,,,Probability of treatment for symptomatic gonorrhea for Black MSM.
gono.sympt.tx.prob_2,0.9,numeric,10,,,,Probability of treatment for symptomatic gonorrhea for Hispanic MSM.
gono.sympt.tx.prob_3,0.9,numeric,10,,,,Probability of treatment for symptomatic gonorrhea for White MSM.
gono.asympt.tx.prob_1,0.95,numeric,10,,,,Probability of treatment for asymptomatic gonorrhea for Black MSM.
gono.asympt.tx.prob_2,0.95,numeric,10,,,,Probability of treatment for asymptomatic gonorrhea for Hispanic MSM.
gono.asympt.tx.prob_3,0.95,numeric,10,,,,Probability of treatment for asymptomatic gonorrhea for White MSM.
chla.uret.prob,0.19,numeric,9.3,,ir100.ct,atlanta,Probability of urethral chlamydia infection per act.
chla.rect.sympt.prob,0.1,numeric,10,,,,Probability of symptoms given infection with rectal chlamydia.
chla.uret.sympt.prob,0.50,numeric,11,,,,"Probability of symptoms given infection with urethral chlamydia. Urethral chlamydia symptom fractions among MSM are 29/48 (60%) at Melbourne Sexual Health Centre (Lister 2004 Sex Health 1:47-50) and 105/155 (67.7%) in a London series (Ward 2009 Sex Transm Infect 85:173-5), inverted through the model's symptomatic-treatment machinery. The previous 0.95 had no source; ECDC states at least 50% of male genital chlamydia is asymptomatic."
chla.tx.recov.int,1.4,numeric,10,,,,Average duration in time steps of treated chlamydia.
chla.ntx.recov.int,32,numeric,12,,,,Average duration in time steps of untreated chlamydia.
chla.sympt.tx.prob_1,0.9,numeric,10,,,,Probability of treatment for symptomatic chlamydia for Black MSM.
chla.sympt.tx.prob_2,0.9,numeric,10,,,,Probability of treatment for symptomatic chlamydia for Hispanic MSM.
chla.sympt.tx.prob_3,0.9,numeric,10,,,,Probability of treatment for symptomatic chlamydia for White MSM.
chla.asympt.tx.prob_1,0.95,numeric,10,,,,Probability of treatment for asymptomatic chlamydia for Black MSM.
