"Fact","Fact Note","New York city, New York","Value Note for New York city, New York","Bronx County, New York","Value Note for Bronx County, New York","Kings County, New York","Value Note for Kings County, New York","New York County, New York","Value Note for New York County, New York","Queens County, New York","Value Note for Queens County, New York","Richmond County, New York","Value Note for Richmond County, New York"
"All employer firms, Reference year 2023","","X","","14,814","","56,038","","72,740","","44,991","","8,497",""
"Male-owned employer firms, Reference year 2023","","X","","9,406","","36,193","","44,843","","29,734","","5,573",""
"Female-owned employer firms, Reference year 2023","","X","","3,440","","13,683","","17,769","","10,436","","1,979",""
"Minority-owned employer firms, Reference year 2023","","X","","5,971","","18,156","","19,182","","20,849","","1,781",""
"Nonminority-owned employer firms, Reference year 2023","","X","","7,861","","35,021","","46,947","","22,098","","6,184",""
"Veteran-owned employer firms, Reference year 2023","","X","","X","","603","","1,409","","922","","77",""
"Nonveteran-owned employer firms, Reference year 2023","","X","","13,561","","52,865","","65,325","","42,208","","7,991",""
"Population per square mile, 2020","","29,303.2","","34,920.2","","39,437.8","","74,781.6","","22,124.5","","8,618.2",""
"Population per square mile, 2010","","27,012.4","","32,903.6","","35,369.1","","69,467.5","","20,553.6","","8,030.3",""
"Land area in square miles, 2020","","300.45","","42.17","","69.38","","22.66","","108.72","","57.52",""
"Land area in square miles, 2010","","302.64","","42.10","","70.82","","22.83","","108.53","","58.37",""
"FIPS Code","","""3651000""","","""36005""","","""36047""","","""36061""","","""36081""","","""36085""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
